Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
FLT3,Uterine_Corpus_Endometrial_Carcinoma,91,16,49,15
DRD5,Uterine_Corpus_Endometrial_Carcinoma,92,0,56,0
AKAP4,Uterine_Corpus_Endometrial_Carcinoma,83,4,47,4
LAMA3,Uterine_Corpus_Endometrial_Carcinoma,149,20,66,20
SEC16A,Uterine_Corpus_Endometrial_Carcinoma,134,8,71,8
SATB1,Uterine_Corpus_Endometrial_Carcinoma,91,7,52,6
ARID1A,Uterine_Corpus_Endometrial_Carcinoma,323,221,194,173
USH2A,Uterine_Corpus_Endometrial_Carcinoma,390,39,99,33
ZNF623,Uterine_Corpus_Endometrial_Carcinoma,91,5,51,5
PAPOLG,Uterine_Corpus_Endometrial_Carcinoma,66,10,47,10
LRP12,Uterine_Corpus_Endometrial_Carcinoma,71,8,46,8
PCSK6,Uterine_Corpus_Endometrial_Carcinoma,83,7,49,7
BMS1,Uterine_Corpus_Endometrial_Carcinoma,83,11,48,10
ETV1,Uterine_Corpus_Endometrial_Carcinoma,81,10,51,10
LRIG1,Uterine_Corpus_Endometrial_Carcinoma,76,2,50,2
NAV3,Uterine_Corpus_Endometrial_Carcinoma,222,23,81,18
TTI1,Uterine_Corpus_Endometrial_Carcinoma,60,6,46,6
YLPM1,Uterine_Corpus_Endometrial_Carcinoma,107,24,60,22
KCNB2,Uterine_Corpus_Endometrial_Carcinoma,79,15,46,14
EPPK1,Uterine_Corpus_Endometrial_Carcinoma,132,10,72,10
DAAM1,Uterine_Corpus_Endometrial_Carcinoma,78,5,47,5
ACVR1B,Uterine_Corpus_Endometrial_Carcinoma,63,3,46,2
BOD1L1,Uterine_Corpus_Endometrial_Carcinoma,162,16,65,16
CDH11,Uterine_Corpus_Endometrial_Carcinoma,122,5,62,5
OVCH1,Uterine_Corpus_Endometrial_Carcinoma,94,9,50,9
NLRP1,Uterine_Corpus_Endometrial_Carcinoma,74,9,46,9
EPHB2,Uterine_Corpus_Endometrial_Carcinoma,92,4,58,4
DHX9,Uterine_Corpus_Endometrial_Carcinoma,75,13,51,13
TRPM1,Uterine_Corpus_Endometrial_Carcinoma,121,11,51,11
PPP1R12A,Uterine_Corpus_Endometrial_Carcinoma,75,9,50,9
NPHS1,Uterine_Corpus_Endometrial_Carcinoma,75,8,55,8
ADCY9,Uterine_Corpus_Endometrial_Carcinoma,127,6,55,6
FMNL3,Uterine_Corpus_Endometrial_Carcinoma,73,4,47,4
CDH19,Uterine_Corpus_Endometrial_Carcinoma,113,14,57,14
FURIN,Uterine_Corpus_Endometrial_Carcinoma,69,3,48,3
PAPPA2,Uterine_Corpus_Endometrial_Carcinoma,105,6,62,6
PPP4R1,Uterine_Corpus_Endometrial_Carcinoma,64,6,44,6
CHD5,Uterine_Corpus_Endometrial_Carcinoma,146,12,68,11
ADAM23,Uterine_Corpus_Endometrial_Carcinoma,78,13,54,13
MECP2,Uterine_Corpus_Endometrial_Carcinoma,141,5,74,5
NRK,Uterine_Corpus_Endometrial_Carcinoma,215,29,88,24
KCND2,Uterine_Corpus_Endometrial_Carcinoma,117,12,58,11
ABCC3,Uterine_Corpus_Endometrial_Carcinoma,75,6,45,6
KDM4C,Uterine_Corpus_Endometrial_Carcinoma,95,6,48,6
CSMD2,Uterine_Corpus_Endometrial_Carcinoma,235,13,86,11
ZBTB20,Uterine_Corpus_Endometrial_Carcinoma,68,23,51,23
DNAH6,Uterine_Corpus_Endometrial_Carcinoma,249,40,80,34
MXD1,Uterine_Corpus_Endometrial_Carcinoma,52,0,46,0
BACH1,Uterine_Corpus_Endometrial_Carcinoma,75,6,50,6
PRPF8,Uterine_Corpus_Endometrial_Carcinoma,122,14,64,14
FAM47B,Uterine_Corpus_Endometrial_Carcinoma,99,5,59,5
PHF14,Uterine_Corpus_Endometrial_Carcinoma,64,20,48,18
SEZ6L2,Uterine_Corpus_Endometrial_Carcinoma,75,4,50,4
NINL,Uterine_Corpus_Endometrial_Carcinoma,78,9,49,8
SLCO1A2,Uterine_Corpus_Endometrial_Carcinoma,63,2,45,2
PHF2,Uterine_Corpus_Endometrial_Carcinoma,96,12,57,11
TTC37,Uterine_Corpus_Endometrial_Carcinoma,86,12,53,11
RIMS1,Uterine_Corpus_Endometrial_Carcinoma,181,16,77,15
MED23,Uterine_Corpus_Endometrial_Carcinoma,74,12,52,10
LARP4B,Uterine_Corpus_Endometrial_Carcinoma,93,14,60,14
MYOM2,Uterine_Corpus_Endometrial_Carcinoma,130,13,64,13
DUOX2,Uterine_Corpus_Endometrial_Carcinoma,101,6,53,5
ZBED1,Uterine_Corpus_Endometrial_Carcinoma,62,2,44,2
TCF20,Uterine_Corpus_Endometrial_Carcinoma,103,7,59,7
SNRNP200,Uterine_Corpus_Endometrial_Carcinoma,106,10,52,10
ALPK1,Uterine_Corpus_Endometrial_Carcinoma,74,9,45,8
KRAS,Uterine_Corpus_Endometrial_Carcinoma,129,3,105,3
NFIA,Uterine_Corpus_Endometrial_Carcinoma,76,1,55,1
KAT2B,Uterine_Corpus_Endometrial_Carcinoma,75,11,46,10
STAB2,Uterine_Corpus_Endometrial_Carcinoma,139,7,65,6
ZFHX2,Uterine_Corpus_Endometrial_Carcinoma,99,13,45,13
EPHA3,Uterine_Corpus_Endometrial_Carcinoma,145,13,63,13
SETD1B,Uterine_Corpus_Endometrial_Carcinoma,115,32,67,29
ARHGEF12,Uterine_Corpus_Endometrial_Carcinoma,104,10,50,10
ZNF217,Uterine_Corpus_Endometrial_Carcinoma,80,3,49,3
DOCK6,Uterine_Corpus_Endometrial_Carcinoma,110,9,62,8
GOLGB1,Uterine_Corpus_Endometrial_Carcinoma,168,32,61,23
VCAN,Uterine_Corpus_Endometrial_Carcinoma,257,32,62,20
FANCD2,Uterine_Corpus_Endometrial_Carcinoma,85,11,54,11
PTPN23,Uterine_Corpus_Endometrial_Carcinoma,68,10,47,9
PLXND1,Uterine_Corpus_Endometrial_Carcinoma,85,4,52,4
PTBP3,Uterine_Corpus_Endometrial_Carcinoma,64,5,46,5
LY75,Uterine_Corpus_Endometrial_Carcinoma,79,13,47,13
ADD2,Uterine_Corpus_Endometrial_Carcinoma,72,5,47,5
