Site,Winter_Longitude,Winter_Latitude,Stopover_Longitude,Stopover_Latitude,Iberian_Longitude,Iberian_Latitude,Westmost_Longitude,Westmost_Latitude
Drenthe,-6.243608788,6.31065317,-4.99207574613278,34.6966425135952,-8.0464178940573,40.6093038833733,-15.975307502482,33.9016859019072
Drenthe,-5.68736323,6.196545877,23.8575480747205,40.9751685292092,-7.82963811597991,42.5358769217402,-14.7796948735998,35.6086352024829
Drenthe,-5.352212536,7.645377458,7.92823847652112,48.342653226081,-7.97332274794207,38.8779157271763,-15.1181914964069,26.7825843942735
Drenthe,-6.275395613,8.046343646,NA,NA,-8.26098888033692,39.2257276671183,-16.0291281243335,28.7541547086702
Drenthe,-4.074797131,14.73775475,6.53616015886691,30.8817265509025,-7.53924634379191,38.6433970116629,-15.5537399331369,26.3378714057082
Drenthe,-8.308372276,5.820103534,NA,NA,-7.41179371755179,43.0391540208564,-15.2068973733188,34.3182075686118
Drenthe,-7.270465452,15.30036796,-3.71464804947823,34.3509150915235,-9.04692322541977,32.2548406890598,-15.3225549242339,18.636505760629
Drenthe,-5.486968361,10.64617695,-4.22461345178243,38.1812277373381,-6.71192891539886,40.3912927496848,-15.4653858552894,32.0764510436653
Drenthe,-6.378542969,11.51602859,-8.33285300191343,27.3346255841166,-5.26037184106022,38.8423797617766,-14.5037484970253,27.4313615288034
Drenthe,-7.284254524,9.543831521,3.59382241283635,46.9495296349216,-7.80759621920947,40.3405506790396,-14.6489055307001,33.8648415937956
Drenthe,-5.776844008,11.26446373,NA,NA,-7.70213100584267,41.1601126063373,-14.8391404546265,21.5301463546884
Drenthe,-7.592270541,10.13458089,-2.38388590935717,34.1465113596985,-7.77730802078193,39.7182269006066,-14.6348442847801,28.6552099552444
Drenthe,-8.603030475,8.128546581,12.883245401455,42.321258523191,-7.83664529980574,42.6216475758128,-15.2872690754805,26.0765198041244
Drenthe,-7.792573215,11.97139355,-3.2948254481709,33.5702975012368,-5.40281854004173,40.1671415730854,-13.4165518268604,22.1350577279849
Drenthe,-6.630762321,11.46002685,-3.40887719844818,34.5675064862684,-8.35097685713059,41.6564897236611,-15.3562643129401,32.2107725067651
Drenthe,-6.672908877,8.499054189,NA,NA,-7.24301969190013,41.8293523559347,-14.7150427576791,19.5061605808627
Drenthe,-6.313162193,8.041251333,0.0783593666028866,33.9420768589152,-7.22529953637441,39.0084242337592,-15.9161704794752,26.3494793167051
Drenthe,-8.169212052,6.897382834,-4.32107863553654,27.4736765956211,-7.42666864554331,41.7065125597403,-14.4810159998862,22.9053189961578
Drenthe,-8.65007697,8.360606218,-9.15910243184842,30.4614534678748,-8.21705040795396,42.1736030838359,-14.9662953083045,24.1858085221238
Drenthe,-7.980660552,13.58279805,6.04870320508953,21.6424461152851,-7.39059363590907,41.8720622766182,-15.8507441257996,27.4833889251881
Drenthe,-6.794266417,12.0968521,-6.90482017393684,24.2264535306628,-6.65883073620976,38.6863125905382,-14.5087929110408,25.7727095956303
Drenthe,-7.659592234,9.547194408,4.93893779158987,46.3828176604121,-6.19328971468761,39.6538695826157,-14.2887096392809,32.9781263482116
Drenthe,-6.748576795,8.097583995,NA,NA,-7.04423274349875,42.2731040901217,-14.8695393416962,30.6368032903197
